NAME.x	HMDB	KEGG	name
peak12	HMDB0000158	NA	TYROSINE/Tyrosine/Tyrosine; CE10; OUYCCCASQSFEME-QMMMGPOBSA-N
peak38	HMDB0015075	C07849	Methantheline
peak38	HMDB0015591	C07818	Mepenzolate
peak38	HMDB0060574	C21517	Perindoprilat
peak38	NA	NA	NA
peak38	NA	NA	NA
peak38	NA	NA	NA
peak38	NA	NA	NA
peak38	NA	NA	NA
peak38	NA	NA	NA
peak38	NA	NA	NA
peak38	NA	NA	NA
peak38	NA	NA	NA
peak38	NA	NA	NA
peak38	NA	NA	NA
peak38	NA	NA	NA
peak38	NA	NA	NA
peak38	NA	NA	NA
peak38	NA	NA	NA
peak38	NA	NA	NA
peak38	NA	NA	NA
peak38	NA	NA	NA
peak38	NA	NA	NA
peak38	NA	NA	NA
peak38	NA	NA	NA
peak38	NA	NA	NA
peak38	NA	NA	NA
peak38	NA	NA	NA
peak38	NA	NA	NA
peak40	HMDB0015334	NA	Nadolol
peak40	HMDB0015345	C07915	Metipranolol
peak40	NA	NA	NA
peak40	NA	NA	NA
peak40	NA	NA	NA
peak40	NA	NA	NA
peak40	NA	NA	NA
peak40	NA	NA	NA
peak40	NA	NA	NA
peak40	NA	NA	NA
peak40	NA	NA	NA
peak40	NA	NA	NA
peak40	NA	NA	NA
peak40	NA	NA	NA
peak40	NA	NA	NA
peak40	NA	NA	NA
peak40	NA	NA	NA
peak40	NA	NA	NA
peak78	HMDB0002815	NA	PC(18:1(9Z)/0:0)
peak78	HMDB0010385	NA	LysoPC(18:1(11Z))
peak78	HMDB0010395	NA	PC(20:4(5Z,8Z,11Z,14Z)/0:0)
peak78	HMDB0010396	NA	LysoPC(20:4(8Z,11Z,14Z,17Z))
peak86	NA	NA	NA
peak118	HMDB0004866	NA	Lactosylceramide (d18:1/12:0)
peak118	HMDB0007991	NA	PC(16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))
peak118	HMDB0008022	NA	PC(16:1(9Z)/22:5(4Z,7Z,10Z,13Z,16Z))
peak118	HMDB0008024	NA	PC(16:1(9Z)/22:5(7Z,10Z,13Z,16Z,19Z))
peak118	HMDB0008083	NA	PC(18:1(11Z)/20:5(5Z,8Z,11Z,14Z,17Z))
peak118	HMDB0008116	NA	PC(18:1(9Z)/20:5(5Z,8Z,11Z,14Z,17Z))
peak118	HMDB0008147	NA	PC(18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z))
peak118	HMDB0008148	NA	PC(18:2(9Z,12Z)/20:4(8Z,11Z,14Z,17Z))
peak118	HMDB0008178	NA	PC(18:3(6Z,9Z,12Z)/20:3(5Z,8Z,11Z))
peak118	HMDB0008179	NA	PC(18:3(6Z,9Z,12Z)/20:3(8Z,11Z,14Z))
peak118	HMDB0008194	NA	PC(18:3(6Z,9Z,12Z)/P-18:1(11Z))
peak118	HMDB0008195	NA	PC(18:3(6Z,9Z,12Z)/P-18:1(9Z))
peak118	HMDB0008211	NA	PC(18:3(9Z,12Z,15Z)/20:3(5Z,8Z,11Z))
peak118	HMDB0008212	NA	PC(18:3(9Z,12Z,15Z)/20:3(8Z,11Z,14Z))
peak118	HMDB0008227	NA	PC(18:3(9Z,12Z,15Z)/P-18:1(11Z))
peak118	HMDB0008228	NA	PC(18:3(9Z,12Z,15Z)/P-18:1(9Z))
peak118	HMDB0008243	NA	PC(18:4(6Z,9Z,12Z,15Z)/20:2(11Z,14Z))
peak118	HMDB0008259	NA	PC(18:4(6Z,9Z,12Z,15Z)/P-18:0)
peak118	HMDB0008339	NA	PC(20:2(11Z,14Z)/18:4(6Z,9Z,12Z,15Z))
peak118	HMDB0008370	NA	PC(20:3(5Z,8Z,11Z)/18:3(6Z,9Z,12Z))
peak118	HMDB0008371	NA	PC(20:3(5Z,8Z,11Z)/18:3(9Z,12Z,15Z))
peak118	HMDB0008403	NA	PC(20:3(8Z,11Z,14Z)/18:3(6Z,9Z,12Z))
peak118	HMDB0008404	NA	PC(20:3(8Z,11Z,14Z)/18:3(9Z,12Z,15Z))
peak118	HMDB0008434	NA	PC(20:4(5Z,8Z,11Z,14Z)/18:2(9Z,12Z))
peak118	HMDB0008455	NA	PC(20:4(5Z,8Z,11Z,14Z)/P-16:0)
peak118	HMDB0008467	NA	PC(20:4(8Z,11Z,14Z,17Z)/18:2(9Z,12Z))
peak118	HMDB0008488	NA	PC(20:4(8Z,11Z,14Z,17Z)/P-16:0)
peak118	HMDB0008498	NA	PC(20:5(5Z,8Z,11Z,14Z,17Z)/18:1(11Z))
peak118	HMDB0008499	NA	PC(20:5(5Z,8Z,11Z,14Z,17Z)/18:1(9Z))
peak118	HMDB0008660	NA	PC(22:5(4Z,7Z,10Z,13Z,16Z)/16:1(9Z))
peak118	HMDB0008693	NA	PC(22:5(7Z,10Z,13Z,16Z,19Z)/16:1(9Z))
peak118	HMDB0008725	NA	PC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/16:0)
peak118	HMDB0010580	NA	PG(16:0/20:4(5Z,8Z,11Z,14Z))
peak118	HMDB0010593	NA	PG(16:1(9Z)/20:3(5Z,8Z,11Z))
peak118	HMDB0010594	NA	PG(16:1(9Z)/20:3(8Z,11Z,14Z))
peak118	HMDB0010621	NA	PG(18:1(11Z)/18:3(6Z,9Z,12Z))
peak118	HMDB0010622	NA	PG(18:1(11Z)/18:3(9Z,12Z,15Z))
peak118	HMDB0010636	NA	PG(18:1(9Z)/18:3(6Z,9Z,12Z))
peak118	HMDB0010637	NA	PG(18:1(9Z)/18:3(9Z,12Z,15Z))
peak118	HMDB0010650	NA	PG(18:2(9Z,12Z)/18:2(9Z,12Z))
peak118	HMDB0010663	NA	PG(18:3(6Z,9Z,12Z)/18:1(11Z))
peak118	HMDB0010664	NA	PG(18:3(6Z,9Z,12Z)/18:1(9Z))
peak118	HMDB0010678	NA	PG(18:3(9Z,12Z,15Z)/18:1(11Z))
peak118	HMDB0010679	NA	PG(18:3(9Z,12Z,15Z)/18:1(9Z))
peak118	HMDB0011221	NA	PC(P-16:0/20:4(8Z,11Z,14Z,17Z))
peak118	HMDB0011247	NA	PC(P-18:0/18:4(6Z,9Z,12Z,15Z))
peak118	HMDB0011278	NA	PC(P-18:1(11Z)/18:3(6Z,9Z,12Z))
peak118	HMDB0011279	NA	PC(P-18:1(11Z)/18:3(9Z,12Z,15Z))
peak118	HMDB0011311	NA	PC(P-18:1(9Z)/18:3(6Z,9Z,12Z))
peak118	HMDB0011312	NA	PC(P-18:1(9Z)/18:3(9Z,12Z,15Z))
peak118	HMDB0012380	NA	PS(18:0/18:2(9Z,12Z))
peak118	HMDB0012390	NA	PS(18:1(9Z)/18:1(9Z))
peak118	HMDB0012400	NA	PS(18:2(9Z,12Z)/18:0)
peak118	HMDB0013415	NA	PC(o-16:1(9Z)/20:4(8Z,11Z,14Z,17Z))
peak118	NA	NA	NA
peak118	NA	NA	NA
peak118	NA	NA	NA
peak118	NA	NA	NA
peak118	NA	NA	NA
peak118	NA	NA	NA
peak118	NA	NA	NA
peak118	NA	NA	NA
peak118	NA	NA	NA
peak118	NA	NA	NA
peak118	NA	NA	NA
peak118	NA	NA	NA
peak118	NA	NA	NA
peak118	NA	NA	NA
peak118	NA	NA	NA
peak118	NA	NA	NA
peak118	NA	NA	NA
peak118	NA	NA	NA
peak118	NA	NA	NA
peak118	NA	NA	NA
peak118	NA	NA	NA
peak118	NA	NA	NA
peak118	NA	NA	NA
peak118	NA	NA	NA
peak118	NA	NA	NA
peak118	NA	NA	NA
peak118	NA	NA	NA
peak118	NA	NA	NA
peak118	NA	NA	NA
peak118	NA	NA	NA
peak118	NA	NA	NA
peak118	NA	NA	NA
peak118	NA	NA	NA
peak118	NA	NA	NA
peak118	NA	NA	NA
peak118	NA	NA	NA
peak118	NA	NA	NA
peak118	NA	NA	NA
peak118	NA	NA	NA
peak118	NA	NA	NA
peak118	NA	NA	NA
peak118	NA	NA	NA
peak118	NA	NA	NA
peak118	NA	NA	NA
peak118	NA	NA	NA
peak118	NA	NA	NA
peak118	NA	NA	NA
peak118	NA	NA	NA
peak118	NA	NA	NA
peak118	NA	NA	NA
peak118	NA	NA	NA
peak118	NA	NA	NA
peak118	NA	NA	NA
peak118	NA	NA	NA
peak118	NA	NA	NA
peak118	NA	NA	NA
peak118	NA	NA	NA
peak118	NA	NA	NA
peak118	NA	NA	NA
peak118	NA	NA	NA
peak118	NA	NA	NA
peak118	NA	NA	NA
peak118	NA	NA	NA
peak118	NA	NA	NA
peak118	NA	NA	NA
peak118	NA	NA	NA
peak118	NA	NA	NA
peak118	NA	NA	NA
peak120	NA	NA	NA
peak127	HMDB0004866	NA	Lactosylceramide (d18:1/12:0)
peak127	HMDB0007921	NA	PC(14:1(9Z)/22:2(13Z,16Z))
peak127	HMDB0007980	NA	PC(16:0/20:3(5Z,8Z,11Z))
peak127	HMDB0007981	NA	PC(16:0/20:3(8Z,11Z,14Z))
peak127	HMDB0007991	NA	PC(16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))
peak127	HMDB0008012	NA	PC(16:1(9Z)/20:2(11Z,14Z))
peak127	HMDB0008022	NA	PC(16:1(9Z)/22:5(4Z,7Z,10Z,13Z,16Z))
peak127	HMDB0008024	NA	PC(16:1(9Z)/22:5(7Z,10Z,13Z,16Z,19Z))
peak127	HMDB0008040	NA	PC(18:0/18:3(6Z,9Z,12Z))
peak127	HMDB0008041	NA	PC(18:0/18:3(9Z,12Z,15Z))
peak127	HMDB0008072	NA	PC(18:1(11Z)/18:2(9Z,12Z))
peak127	HMDB0008083	NA	PC(18:1(11Z)/20:5(5Z,8Z,11Z,14Z,17Z))
peak127	HMDB0008105	NA	PC(18:1(9Z)/18:2(9Z,12Z))
peak127	HMDB0008116	NA	PC(18:1(9Z)/20:5(5Z,8Z,11Z,14Z,17Z))
peak127	HMDB0008136	NA	PC(18:2(9Z,12Z)/18:1(11Z))
peak127	HMDB0008137	NA	PC(18:2(9Z,12Z)/18:1(9Z))
peak127	HMDB0008147	NA	PC(18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z))
peak127	HMDB0008148	NA	PC(18:2(9Z,12Z)/20:4(8Z,11Z,14Z,17Z))
peak127	HMDB0008168	NA	PC(18:3(6Z,9Z,12Z)/18:0)
peak127	HMDB0008178	NA	PC(18:3(6Z,9Z,12Z)/20:3(5Z,8Z,11Z))
peak127	HMDB0008179	NA	PC(18:3(6Z,9Z,12Z)/20:3(8Z,11Z,14Z))
peak127	HMDB0008201	NA	PC(18:3(9Z,12Z,15Z)/18:0)
peak127	HMDB0008211	NA	PC(18:3(9Z,12Z,15Z)/20:3(5Z,8Z,11Z))
peak127	HMDB0008212	NA	PC(18:3(9Z,12Z,15Z)/20:3(8Z,11Z,14Z))
peak127	HMDB0008243	NA	PC(18:4(6Z,9Z,12Z,15Z)/20:2(11Z,14Z))
peak127	HMDB0008332	NA	PC(20:2(11Z,14Z)/16:1(9Z))
peak127	HMDB0008339	NA	PC(20:2(11Z,14Z)/18:4(6Z,9Z,12Z,15Z))
peak127	HMDB0008364	NA	PC(20:3(5Z,8Z,11Z)/16:0)
peak127	HMDB0008370	NA	PC(20:3(5Z,8Z,11Z)/18:3(6Z,9Z,12Z))
peak127	HMDB0008371	NA	PC(20:3(5Z,8Z,11Z)/18:3(9Z,12Z,15Z))
peak127	HMDB0008397	NA	PC(20:3(8Z,11Z,14Z)/16:0)
peak127	HMDB0008403	NA	PC(20:3(8Z,11Z,14Z)/18:3(6Z,9Z,12Z))
peak127	HMDB0008404	NA	PC(20:3(8Z,11Z,14Z)/18:3(9Z,12Z,15Z))
peak127	HMDB0008434	NA	PC(20:4(5Z,8Z,11Z,14Z)/18:2(9Z,12Z))
peak127	HMDB0008467	NA	PC(20:4(8Z,11Z,14Z,17Z)/18:2(9Z,12Z))
peak127	HMDB0008498	NA	PC(20:5(5Z,8Z,11Z,14Z,17Z)/18:1(11Z))
peak127	HMDB0008499	NA	PC(20:5(5Z,8Z,11Z,14Z,17Z)/18:1(9Z))
peak127	HMDB0008591	NA	PC(22:2(13Z,16Z)/14:1(9Z))
peak127	HMDB0008660	NA	PC(22:5(4Z,7Z,10Z,13Z,16Z)/16:1(9Z))
peak127	HMDB0008693	NA	PC(22:5(7Z,10Z,13Z,16Z,19Z)/16:1(9Z))
peak127	HMDB0008725	NA	PC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/16:0)
peak139	NA	NA	NA
peak139	NA	NA	NA
peak139	NA	NA	NA
peak139	NA	NA	NA
peak139	NA	NA	NA
peak139	NA	NA	NA
peak139	NA	NA	NA
peak139	NA	NA	NA
peak139	NA	NA	NA
peak139	NA	NA	NA
peak139	NA	NA	NA
peak139	NA	NA	NA
peak139	NA	NA	NA
peak139	NA	NA	NA
peak139	NA	NA	NA
peak139	NA	NA	NA
peak139	NA	NA	NA
peak139	NA	NA	NA
peak139	NA	NA	NA
peak139	NA	NA	NA
peak139	NA	NA	NA
peak139	NA	NA	NA
peak139	NA	NA	NA
peak139	NA	NA	NA
peak139	NA	NA	NA
